"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S920","2019-09-22 00:00:00","98.000","0.000","0.000","24.000","0.980","992.300","","20.500","-99.000","-99.000","-99.000","31.400","","23.600",""
"C0V640","2019-09-22 00:00:00","35.000","29.000","5.400","24.200","0.780","1003.600","","0.000","10.500","46.000","","29.000","","24.200",""
"C0AH80","2019-09-22 00:00:00","68.000","0.000","0.200","20.800","0.960","1000.600","","51.500","-99.000","-99.000","-99.000","22.000","","19.100",""
"C0UA60","2019-09-22 00:00:00","566.000","86.000","1.100","20.600","0.990","944.500","","22.500","-99.000","-99.000","-99.000","24.900","","20.000",""
"C0A980","2019-09-22 00:00:00","11.000","58.000","0.900","21.400","0.990","1008.300","","64.000","-99.000","-99.000","-99.000","22.100","","20.600",""
"C0C670","2019-09-22 00:00:00","250.000","189.000","2.100","20.400","0.870","981.000","","19.000","-99.000","-99.000","-99.000","22.300","","18.400",""
"C0K550","2019-09-22 00:00:00","15.000","79.000","1.100","23.600","0.780","1006.300","","0.000","-99.000","-99.000","-99.000","28.600","","22.900",""
"C0R350","2019-09-22 00:00:00","35.000","354.000","1.600","25.000","0.780","1003.300","","0.000","-99.000","-99.000","-99.000","28.600","","24.000",""
"C0T9F0","2019-09-22 00:00:00","251.000","0.000","0.000","22.600","0.970","979.200","","68.000","-99.000","-99.000","-99.000","28.800","","22.400",""
"C0D390","2019-09-22 00:00:00","146.000","0.000","0.000","20.400","0.970","991.400","","19.000","-99.000","-99.000","-99.000","22.000","","18.700",""
"C0E430","2019-09-22 00:00:00","258.000","192.000","1.300","20.000","0.960","984.000","","5.000","-99.000","-99.000","-99.000","23.900","","18.200",""
"C0O990","2019-09-22 00:00:00","18.000","20.000","3.000","23.500","0.820","1005.500","","0.000","-99.000","-99.000","-99.000","29.000","","23.300",""
"CM0010","2019-09-22 00:00:00","68.000","131.000","0.600","21.800","-99.000","1001.400","","42.000","-99.000","-99.000","-99.000","22.100","","19.600",""
"C0K500","2019-09-22 00:00:00","12.000","77.000","3.900","23.700","0.750","1005.400","","0.000","-99.000","-99.000","-99.000","27.700","","22.600",""
"C0X260","2019-09-22 00:00:00","39.000","60.000","3.000","23.600","0.780","1003.800","","0.000","-99.000","-99.000","-99.000","27.500","","22.600",""
"C0ACA0","2019-09-22 00:00:00","25.000","0.000","0.000","22.600","0.830","1004.900","","23.500","-99.000","-99.000","-99.000","22.600","","19.800",""
"C0X180","2019-09-22 00:00:00","62.000","2.000","1.900","23.300","0.830","1000.300","","0.000","-99.000","-99.000","-99.000","27.700","","22.500",""
"C0F930","2019-09-22 00:00:00","100.000","90.000","1.400","23.800","0.850","996.200","","0.000","-99.000","-99.000","-99.000","28.700","","21.500",""
"C0I010","2019-09-22 00:00:00","1562.000","213.000","1.500","15.500","0.980","844.800","","1.000","-99.000","-99.000","-99.000","17.900","","15.500",""
"C0R190","2019-09-22 00:00:00","32.000","23.000","0.700","24.100","0.930","1003.100","","0.000","-99.000","-99.000","-99.000","27.900","","22.800",""
